sample_code,B,Na,Mg,Al,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Ba,Pb
we2 011819 02,5.399521061,1168.41773,440.9703798,15.05659091,112.4291221,895.7036639,8670.805999,0.341588231,1.996518107,0.196066875,0.479994943,18.88576405,0.048651549,0.423171414,3.93898283,13.90120175,0.317816754,0,31.46163586,0.139440166,0.000286579,8.991253319,0.059066662
we2 021119 03,4.343193544,1149.634211,471.2295943,26.8592432,93.45762993,707.3319495,9606.14708,0.414020837,1.943550563,0.114117222,0.339196035,18.39963517,0.057921088,0.219034619,3.595499022,20.60194749,0.484865938,0,28.0540243,0.107198194,0.003034583,7.011390427,0.036162491
we3 021219 06,0,69.40066921,16.89474607,0,12.33888625,82.9813705,765.5996834,0,0,0.068332463,0,0.657958341,0.06171772,0,0.065147336,21.08165906,0,0,0.727025113,0.022606363,0.002480854,3.980778919,0.004177754
we3 020919 01,0,509.6173272,129.476332,0,180.5631978,142.4158585,2605.773912,0,0.126470577,0.038241203,1.113730714,3.839866535,0.204304453,0.318305099,1.310543292,78.23876664,0.059636614,0.727366835,3.956127302,0.195499666,0.010945822,17.63171893,0.063505999
we2 011819 03,5.336389894,1082.631764,486.4889309,5.98966496,153.3113138,890.3947339,8577.795053,0.588967722,1.887116947,0.200813229,0.381154148,19.0534215,0.114229976,0.344411095,3.680281994,12.09650562,0.440276472,0,29.74108263,0.156731722,0.008341394,7.772174215,0.060280577
we2 021119 04,3.200731175,852.6670297,366.7329395,9.555033206,71.15473003,756.6667398,6575.424317,0.162063628,1.557478158,0.194596701,0.022994398,15.07027388,0.066492059,0.12691242,2.662584698,8.686596835,0.367760957,0,23.00447459,0.127918091,0.007696043,6.285460715,0.047870857
we3 021219 07,0,171.5004181,17.87517707,0,18.74041343,24.70401725,813.1218278,0,0.000341644,0,0.153060288,1.098785282,0.018179967,0.073029604,0.063940194,25.18113799,0.0114502,0.740156302,0.205933825,0.035331203,2.01E-05,4.351146059,0.005586032
we3 021119 02,0,547.4009569,97.71409581,0,18.31740784,108.4114828,1131.473161,0,0.013936481,0.085152743,0,1.44831335,0.034760138,0.05696575,0.206028884,51.75660365,0.008692613,0,2.082268876,0.093662845,0.00246546,8.991790345,0.007998719
we2 012019 05,2.90372371,1213.931519,612.5643575,10.88603804,124.0018058,943.9629525,11005.40243,1.250944305,2.173808473,0.301364891,0.203658558,16.29390539,0.116749369,0.474220356,3.819244844,13.05366062,0.429073453,0,39.90565142,0.148420097,0.002797515,10.18054587,0.050971454
we2 011919 04,5.291231416,1214.100819,533.5280467,21.12164916,83.9844522,936.4295897,9835.150728,0.008798568,2.034536984,0.259379607,0.448211729,18.94756561,0.052465547,0.325188,3.707514484,11.51547674,0.399078463,0,35.859263,0.12121941,0.005934845,9.63555351,0.024481065
we2 123118 03,0.546681566,1391.268739,704.7355649,5.815017929,121.0898594,1118.045016,12913.02539,0.552151087,1.819425513,0.321044579,0,17.60813465,0.045150477,2.674424821,4.250858609,12.28515344,0.492754998,0,44.34456062,0.175575206,0.013810285,12.01504519,0.060548095
we3 010819 02,0,185.166241,35.35483693,0,12.00467117,83.25369238,1323.172954,0,0.04630451,0,0,1.57333401,0.018196298,0,0.468976221,42.05421049,0.008948654,1.371010819,2.327954683,0.032277069,0,9.665554604,0.01133856
we2 011619 03,0.429863461,1567.672869,647.6564028,2.982434406,144.1298425,954.7749891,10760.69896,1.565006555,2.046134445,0.32443249,0.022528564,17.7322604,0.062182346,0.340472067,4.407672046,29.03432888,0.569206734,0.723201203,37.06304989,0.200832452,0.005976359,11.0301964,0.043075473
we3 011819 01,1.503080585,233.4185937,37.71954587,27.77462716,31.82261376,553.1623322,688.4182428,0.640932211,0.056866552,0.635358445,1.143310212,4.863841292,0.017399645,0.657716793,0.367689795,41.66299816,0.039456728,0,0.754679367,0.060439155,0.021232624,4.680786219,0.026289428
we2 122918 01,7.527121184,1157.486286,527.2968541,39.73051076,173.924585,1359.433018,11929.96937,0.607824114,1.976635663,0.574498792,0.843030245,21.63066935,0.05093128,0.995232806,4.686285786,26.647741,0.436830335,6.60603162,47.1269269,0.192851981,0.022136023,9.665140719,0.087969904
we2 011119 05,6.325372207,1326.214445,661.1187009,61.02729543,136.3895571,1323.066038,14605.13637,0.670492579,1.700556368,0.642672287,0.930156561,19.46239343,0.055748753,0.59688503,4.721755093,20.01309466,0.444566464,0,43.3724333,0.15149662,0.0139106,9.751159669,0.061740198
we3 011619 02,2.402871265,232.2050697,50.81823032,37.40938943,31.6560262,596.0238083,1781.767959,0.716503387,0.016267737,0.470719252,1.630615015,18.25195513,0.052453734,0.509162129,1.6379707,50.3506569,0.037635437,0,3.006706277,0.080382198,0.014710619,9.730646949,0.055874843
