FS data Date,FS data Time,roof,FS Sample Number,Bottle Number,date,time,sample_code
2/11/2019,6:05:00 PM,we3,40,3,2/11/2019,6:05:00 PM,we3 021119 03
2/11/2019,11:25:00 PM,we3,41,4,2/11/2019,11:25:00 PM,we3 021119 04
2/12/2019,2:10:00 AM,we3,42,5,2/12/2019,2:10:00 AM,we3 021219 05
2/12/2019,6:55:00 AM,we3,43,6,2/12/2019,6:55:00 AM,we3 021219 06
2/12/2019,9:40:00 AM,we3,44,7,2/12/2019,9:40:00 AM,we3 021219 07
2/14/2019,10:30:00 AM,we3,45,1,2/14/2019,10:30:00 AM,we3 021419 01
2/19/2019,9:30:00 PM,we3,46,1,2/19/2019,9:30:00 PM,we3 021919 01
2/22/2019,6:15:00 PM,we3,47,1,2/22/2019,6:15:00 PM,we3 022219 01
2/24/2019,2:00:00 AM,we3,48,2,2/24/2019,2:00:00 AM,we3 022419 02
3/8/2019,5:35:00 PM,we3,50,1,3/8/2019,5:35:00 PM,we3 030819 01
4/6/2019,10:15:00 AM,we3,55,3,4/6/2019,10:15:00 AM,we3 040619 03
4/7/2019,2:10:00 AM,we3,56,4,4/7/2019,2:10:00 AM,we3 040719 04
4/8/2019,7:20:00 AM,we3,57,1,4/8/2019,7:20:00 AM,we3 040819 01
4/15/2019,3:45:00 PM,we3,58,1,4/15/2019,3:45:00 PM,we3 041519 01
4/19/2019,2:35:00 PM,we3,59,1,4/19/2019,2:35:00 PM,we3 041919 01
4/19/2019,8:40:00 PM,we3,60,2,4/19/2019,8:40:00 PM,we3 041919 02
5/14/2019,5:45:00 AM,we3,61,1,5/14/2019,5:45:00 AM,we3 051419 01
5/14/2019,7:40:00 AM,we3,62,2,5/14/2019,7:40:00 AM,we3 051419 02
5/14/2019,9:20:00 AM,we3,63,3,5/14/2019,9:20:00 AM,we3 051419 03
5/15/2019,1:05:00 AM,we3,64,4,5/15/2019,1:05:00 AM,we3 051519 04
5/15/2019,4:20:00 PM,we3,65,1,5/15/2019,4:20:00 PM,we3 051519 01
5/15/2019,5:05:00 PM,we3,66,2,5/15/2019,5:05:00 PM,we3 051519 02
5/15/2019,5:50:00 PM,we3,67,3,5/15/2019,5:50:00 PM,we3 051519 03
5/18/2019,6:20:00 PM,we3,68,1,5/18/2019,6:20:00 PM,we3 051819 01
5/18/2019,7:10:00 PM,we3,69,2,5/18/2019,7:10:00 PM,we3 051819 02
5/18/2019,9:45 PM to 10:50 pm,we3,70 to 72,3 to 05,5/18/2019,10:50:00 PM,we3 051819 03 to 05
5/18/2019,11:05 pm to 11:45 pm,we3,73 to 77,6 to 10,5/18/2019,11:45:00 PM,we3 051819 06 to 10
5/18/2019,12:05 am to 12:55 am,we3,78 to 82,11 to 15,5/18/2019,12:55:00 AM,we3 051819 011 to 15
5/19/2019,1:00 am to 1:40 am,we3,83 to 86,16 to 19,5/19/2019,1:40:00 AM,we3 051919 016 to 19
5/19/2019,2:40:00 AM,we3,87,20,5/19/2019,2:40:00 AM,we3 051919 020
5/19/2019,4:00:00 AM,we3,88,21,5/19/2019,4:00:00 AM,we3 051919 021
5/25/2019,3:10:00 PM,we3,95,6,5/25/2019,3:10:00 PM,we3 052519 06
5/25/2019,4:15:00 PM,we3,96,7,5/25/2019,4:15:00 PM,we3 052519 07
