"","storm_id","pollutant","roof","p_mg_m2"
"678",20,"B","con",0
"679",20,"B","eco",0.181
"680",20,"Ba","con",0.289
"681",20,"Ba","eco",0.433
"682",20,"Ca","con",45.1
"683",20,"Ca","eco",522
"684",20,"Cd","con",0.000185
"685",20,"Cd","eco",0.000291
"686",20,"Co","con",0.00124
"687",20,"Co","eco",0.00346
"688",20,"Cr","con",0.0023
"689",20,"Cr","eco",0.015
"690",20,"Cu","con",0.0064
"691",20,"Cu","eco",0.24
"692",20,"Fe","con",0.0669
"693",20,"Fe","eco",0.934
"694",20,"K","con",3.52
"695",20,"K","eco",40.1
"696",20,"Mg","con",2.02
"697",20,"Mg","eco",26.6
"698",20,"Mn","con",0.00351
"699",20,"Mn","eco",0.0104
"700",20,"Mo","con",0.00259
"701",20,"Mo","eco",0.00752
"702",20,"NH3","con",36.8
"703",20,"NH3","eco",28.6
"704",20,"NO3","con",0.108
"705",20,"NO3","eco",0
"706",20,"Na","con",12.9
"707",20,"Na","eco",57.8
"708",20,"Ni","con",0.00195
"709",20,"Ni","eco",0.0257
"710",20,"P","con",1.04
"711",20,"P","eco",6.81
"712",20,"PO4","con",0.918
"713",20,"PO4","eco",4.76
"714",20,"Pb","con",0.00044
"715",20,"Pb","eco",0.00311
"716",20,"Se","con",0.0059
"717",20,"Se","eco",0.012
"718",20,"Sr","con",0.0634
"719",20,"Sr","eco",1.78
"720",20,"Ti","con",0
"721",20,"Ti","eco",0.0217
"722",20,"V","con",0.000609
"723",20,"V","eco",0.0988
"724",20,"Zn","con",1.61
"725",20,"Zn","eco",0.971
"726",21,"Al","con",0
"727",21,"Al","eco",0.263
"728",21,"As","con",0.000277
"729",21,"As","eco",0.00554
"730",21,"B","con",0
"731",21,"B","eco",0.0429
"732",21,"Ba","con",0.0882
"733",21,"Ba","eco",0.135
"734",21,"Ca","con",10.3
"735",21,"Ca","eco",173
"736",21,"Cd","con",0
"737",21,"Cd","eco",1.81e-05
"738",21,"Co","con",0.0419
"739",21,"Co","eco",0.0252
"740",21,"Cr","con",0.00226
"741",21,"Cr","eco",0.000297
"742",21,"Cu","con",0.00739
"743",21,"Cu","eco",0.0382
"744",21,"Fe","con",0.0266
"745",21,"Fe","eco",0.172
"746",21,"K","con",0.481
"747",21,"K","eco",11.9
"748",21,"Mg","con",0.254
"749",21,"Mg","eco",8.95
"750",21,"Mn","con",0.00523
"751",21,"Mn","eco",0.0035
"752",21,"Mo","con",0.00073
"753",21,"Mo","eco",0.00127
"754",21,"Na","con",1.71
"755",21,"Na","eco",12.6
"756",21,"Ni","con",0.000931
"757",21,"Ni","eco",0.00596
"758",21,"P","con",0.348
"759",21,"P","eco",1.11
"760",21,"Pb","con",0.00111
"761",21,"Pb","eco",0.000552
"762",21,"Se","con",0.027
"763",21,"Se","eco",0
"764",21,"Sr","con",0.0134
"765",21,"Sr","eco",0.586
"766",21,"Ti","con",0
"767",21,"Ti","eco",0.00676
"768",21,"V","con",0.000638
"769",21,"V","eco",0.0254
"770",21,"Zn","con",0.376
"771",21,"Zn","eco",0.187
"772",22,"Al","con",0
"773",22,"Al","eco",0.036
"774",22,"As","con",0.000116
"775",22,"As","eco",0.00201
"776",22,"B","con",0
"777",22,"B","eco",0.00553
"778",22,"Ba","con",0.0549
"779",22,"Ba","eco",0.0462
"780",22,"Ca","con",9
"781",22,"Ca","eco",51.6
"782",22,"Cd","con",4.46e-05
"783",22,"Cd","eco",6.43e-05
"784",22,"Co","con",0.00103
"785",22,"Co","eco",0.00112
"786",22,"Cr","con",0.000258
"787",22,"Cr","eco",0.00173
"788",22,"Cu","con",0.00841
"789",22,"Cu","eco",0.0132
"790",22,"Fe","con",0.0121
"791",22,"Fe","eco",0.0594
"792",22,"K","con",0.59
"793",22,"K","eco",3.81
"794",22,"Mg","con",0.319
"795",22,"Mg","eco",2.71
"796",22,"Mn","con",0.00109
"797",22,"Mn","eco",0.00152
"798",22,"Mo","con",0.000602
"799",22,"Mo","eco",0.000396
"800",22,"NH3","con",4.42
"801",22,"NH3","eco",1.29
"802",22,"NO3","con",0
"803",22,"NO3","eco",0
"804",22,"Na","con",2.14
"805",22,"Na","eco",4.14
"806",22,"Ni","con",0.0026
"807",22,"Ni","eco",0.00192
"808",22,"P","con",0.148
"809",22,"P","eco",0.362
"810",22,"PO4","con",0.0735
"811",22,"PO4","eco",0.22
